EvtN	HitN	TrackID	Energy	DetID	Process	DOI	HP	Time
37529	1	1	0	4	4	3	912	0.722757	
37636	1	1	0	4	4	10	912	0.749282	
37677	1	1	0	4	4	9	912	0.720358	
38010	1	1	0	4	4	8	912	0.718261	
38346	1	1	0	4	4	7	912	0.72105	
38499	1	1	0	4	4	7	912	0.717636	
38612	1	1	662	4	1	1	912	0.735219	
38871	1	1	0	4	4	9	912	0.734909	
38909	1	1	0	4	4	9	912	0.720458	
39115	1	1	0	4	4	4	912	0.719337	
39275	1	1	0	4	4	6	912	0.72028	
39637	1	1	0	4	4	3	912	0.720326	
39939	1	1	0	4	4	3	912	0.721994	
40348	1	1	662	4	1	7	912	0.718336	
40513	1	1	0	4	4	1	912	0.734421	
40644	1	1	334.614	4	2	10	912	0.746037	
40644	2	1	0	4	4	10	912	0.74706	
40893	1	1	0	4	4	3	912	0.725589	
40911	1	1	0	4	4	10	912	0.748123	
40963	1	1	0	4	4	1	912	0.725857	
41131	1	1	0	4	4	9	912	0.726114	
41582	1	1	0	4	4	1	912	0.724073	
42095	1	1	0	4	4	1	912	0.725219	
42199	1	1	0	4	4	1	912	0.725173	
42352	1	1	0	4	4	3	912	0.750668	
42399	1	1	0	4	4	4	912	0.725092	
42663	1	1	458.634	4	2	3	912	0.72232	
42663	2	1	203.366	4	1	3	912	0.747685	
43108	1	1	311.084	4	2	4	912	0.718954	
43108	2	1	44.9412	4	2	1	912	0.752671	
43108	3	1	305.974	4	1	1	912	0.762368	
43673	1	1	0	4	4	5	912	0.72202	
44233	1	1	55.0377	4	2	2	912	0.723197	
44233	2	1	0	4	4	2	912	0.74508	
44250	1	1	0	4	4	10	912	0.739783	
44342	1	1	0	4	4	10	912	0.739381	
44518	1	1	387.435	4	2	3	912	0.722782	
44518	2	1	0	4	4	2	912	0.727442	
44710	1	1	476.626	4	2	3	912	0.725258	
44710	2	1	0	4	4	4	912	0.731832	
44774	1	1	0	4	4	2	912	0.72299	
45057	1	1	33.2661	4	2	8	912	0.719978	
45057	2	1	0	4	4	7	912	0.722727	
45320	1	1	0	4	4	1	912	0.72483	
45476	1	1	0	4	4	1	912	0.733388	
45506	1	1	315.851	4	2	9	912	0.717773	
45506	2	1	165.714	4	2	4	912	0.740808	
45506	3	1	5.27266	4	2	3	912	0.761415	
45506	4	1	175.161	4	1	3	912	0.778094	
45665	1	1	0	4	4	1	912	0.722832	
45744	1	1	0	4	4	9	912	0.731929	
45830	1	1	394.631	4	2	9	912	0.71913	
45830	2	1	0	4	4	8	912	0.720855	
46321	1	1	0	4	4	7	912	0.71789	
46436	1	1	0	4	4	6	912	0.72313	
46453	1	1	0	4	4	6	912	0.718941	
46710	1	1	0	4	4	3	912	0.723147	
46713	1	1	0	4	4	8	912	0.719277	
46716	1	1	456.638	4	2	8	912	0.721819	
46716	2	1	0	4	4	8	912	0.723133	
46829	1	1	0	4	4	1	912	0.726879	
46991	1	1	0	4	4	1	912	0.725975	
47240	1	1	242.607	4	2	6	912	0.720646	
47240	2	1	230.972	4	2	7	912	0.725415	
47240	3	1	188.422	4	1	2	912	0.752426	
47348	1	1	0	4	4	3	912	0.747018	
47617	1	1	208.063	4	2	5	912	0.736756	
47617	2	1	0	4	4	4	912	0.742753	
47845	1	1	0	4	4	1	912	0.722418	
48219	1	1	0	4	4	9	912	0.7288	
48221	1	1	0	4	4	2	912	0.721391	
48281	1	1	0	4	4	1	912	0.723603	
48360	1	1	0	4	4	1	912	0.725796	
48405	1	1	0	4	4	2	912	0.722236	
48494	1	1	447.237	4	2	7	912	0.719664	
48494	2	1	214.763	4	1	7	912	0.728818	
48558	1	1	441.896	4	2	5	912	0.719697	
48558	2	1	220.104	4	1	7	912	0.744088	
48639	1	1	0	4	4	9	912	0.731534	
48660	1	1	0	4	4	5	912	0.722339	
49043	1	1	0	4	4	3	912	0.723184	
49091	1	1	0	4	4	1	912	0.723099	
49354	1	1	0	4	4	1	912	0.746634	
49415	1	1	0	4	4	1	912	0.724079	
49938	1	1	119.133	4	2	6	912	0.719568	
49938	2	1	0	4	4	5	912	0.728378	
49988	1	1	0	4	4	1	912	0.726122	
50143	1	1	0	4	4	10	912	0.738227	
50144	1	1	0	4	4	1	912	0.732932	
50323	1	1	321.104	4	2	3	912	0.721605	
50323	2	1	0	4	4	1	912	0.748576	
50426	1	1	323.869	4	2	2	912	0.724078	
50426	2	1	0	4	4	4	912	0.734876	
50491	1	1	147.685	4	2	3	912	0.723139	
50491	2	1	0	4	4	3	912	0.739498	
50642	1	1	0	4	4	9	912	0.729668	
50887	1	1	0	4	4	1	912	0.724717	
50960	1	1	0	4	4	1	912	0.724665	
51345	1	1	0	4	4	1	912	0.728488	
51737	1	1	0	4	4	3	912	0.721836	
51761	1	1	0	4	4	9	912	0.728165	
52157	1	1	188.306	4	2	5	912	0.719834	
52157	2	1	0	4	4	6	912	0.740582	
52169	1	1	0	4	4	1	912	0.724289	
52491	1	1	0	4	4	1	912	0.727469	
52520	1	1	219.841	4	2	3	912	0.722006	
52520	2	1	0	4	4	1	912	0.743162	
52700	1	1	0	4	4	1	912	0.724324	
52703	1	1	0	4	4	7	912	0.741343	
52944	1	1	304.777	4	2	2	912	0.72352	
52944	2	1	0	4	4	4	912	0.724957	
52955	1	1	0	4	4	2	912	0.721112	
53076	1	1	124.229	4	2	3	912	0.724081	
53076	2	1	0	4	4	6	912	0.726282	
53183	1	1	136.381	4	2	1	912	0.723473	
53183	2	1	0	4	4	1	912	0.748903	
53477	1	1	0	4	4	5	912	0.72049	
53530	1	1	0	4	4	8	912	0.717958	
54403	1	1	0	4	4	1	912	0.72774	
54636	1	1	297.71	4	2	8	912	0.717043	
54636	2	1	0	4	4	7	912	0.741011	
54710	1	1	0	4	4	8	912	0.719046	
55172	1	1	662	4	1	3	912	0.723491	
55512	1	1	266.219	4	2	7	912	0.720745	
55512	2	1	0	4	4	1	912	0.727961	
55567	1	1	0	4	4	1	912	0.722468	
55573	1	1	163.159	4	2	10	912	0.728193	
55573	2	1	0	4	4	7	912	0.741632	
55881	1	1	96.0169	4	2	8	912	0.720118	
55881	2	1	0	4	4	9	912	0.723003	
55897	1	1	0	4	4	10	912	0.74926	
55997	1	1	0	4	4	8	912	0.719815	
56399	1	1	0	4	4	10	912	0.739596	
56409	1	1	457.625	4	2	2	912	0.7227	
56409	2	1	61.6069	4	2	1	912	0.738349	
56409	3	1	142.768	4	1	1	912	0.746723	
56913	1	1	80.4239	4	2	4	912	0.723594	
56913	2	1	0	4	4	6	912	0.724846	
56927	1	1	0	4	4	4	912	0.719439	
57148	1	1	0	4	4	1	912	0.723954	
57189	1	1	5.07553	4	2	5	912	0.722652	
57189	2	1	0	4	4	1	912	0.727181	
58227	1	1	0	4	4	1	912	0.72189	
58413	1	1	0	4	4	1	912	0.722926	
58458	1	1	452.453	4	2	9	912	0.719132	
58458	2	1	0	4	4	9	912	0.720334	
58911	1	1	0	4	4	9	912	0.720456	
59015	1	1	0	4	4	4	912	0.7245	
59040	1	1	0	4	4	1	912	0.724719	
59165	1	1	0	4	4	1	912	0.721753	
59381	1	1	0	4	4	9	912	0.730852	
59437	1	1	0	4	4	8	912	0.74853	
59742	1	1	0	4	3	1	912	0.723397	
59742	2	1	0	4	4	1	912	0.743499	
59782	1	1	0	4	4	5	912	0.719155	
60022	1	1	0	4	4	1	912	0.723959	
60258	1	1	477.033	4	2	2	912	0.723157	
60258	2	1	0	4	4	3	912	0.742997	
60313	1	1	662	4	1	6	912	0.718073	
60419	1	1	0	4	4	1	912	0.725328	
60461	1	1	0	4	4	7	912	0.717092	
60634	1	1	662	4	1	5	912	0.721012	
60995	1	1	273.958	4	2	7	912	0.71883	
60995	2	1	0	4	4	7	912	0.721215	
61265	1	1	0	4	4	1	912	0.729236	
61401	1	1	0	4	4	8	912	0.717359	
61877	1	1	0	4	4	5	912	0.719892	
62082	1	1	0	4	4	4	912	0.720475	
62147	1	1	0	4	4	10	912	0.745763	
62378	1	1	662	4	1	3	912	0.725328	
62529	1	1	0	4	4	9	912	0.730825	
62887	1	1	323.966	4	2	2	912	0.721779	
62887	2	1	0	4	4	3	912	0.754262	
62897	1	1	227.682	4	2	1	912	0.724696	
62897	2	1	0	4	4	1	912	0.751524	
63354	1	1	0	4	4	1	912	0.724947	
63929	1	1	662	4	1	6	912	0.717718	
64017	1	1	0	4	4	1	912	0.743234	
64054	1	1	0	4	4	4	912	0.720089	
64278	1	1	0	4	4	9	912	0.723628	
64503	1	1	662	4	1	1	912	0.723984	
64738	1	1	0	4	4	3	912	0.720915	
64953	1	1	466.323	4	2	8	912	0.718355	
64953	2	1	0	4	4	8	912	0.720501	
65147	1	1	0	4	4	3	912	0.720887	
65372	1	1	0	4	4	1	912	0.727881	
65520	1	1	0	4	4	6	912	0.719199	
65543	1	1	0	4	4	4	912	0.719349	
65715	1	1	0	4	4	1	912	0.722806	
65736	1	1	662	4	1	5	912	0.720214	
65747	1	1	346.99	4	2	9	912	0.720435	
65747	2	1	0	4	4	10	912	0.738343	
66193	1	1	0	4	4	1	912	0.72491	
66247	1	1	662	4	1	9	912	0.717666	
66268	1	1	0	4	4	10	912	0.747573	
66436	1	1	0	4	4	3	912	0.72068	
66583	1	1	0	4	4	1	912	0.723976	
66874	1	1	0	4	4	9	912	0.731867	
67155	1	1	0	4	4	6	912	0.720034	
67554	1	1	0	4	4	6	912	0.719313	
67699	1	1	0	4	4	7	912	0.717654	
68051	1	1	0	4	4	7	912	0.722781	
68063	1	1	0	4	4	10	912	0.748319	
68297	1	1	0	4	4	1	912	0.723509	
68560	1	1	369.505	4	2	6	912	0.719187	
68560	2	1	155.012	4	2	7	912	0.747642	
68560	3	1	137.483	4	1	6	912	0.751095	
68651	1	1	0	4	4	1	912	0.724931	
68746	1	1	0	4	4	1	912	0.725361	
68937	1	1	0	4	4	1	912	0.727006	
68955	1	1	383.081	4	2	9	912	0.733069	
68955	2	1	0	4	4	10	912	0.749952	
69652	1	1	0	4	4	1	912	0.725582	
69680	1	1	0	4	4	3	912	0.720294	
69753	1	1	267.435	4	2	10	912	0.720477	
69753	2	1	0	4	4	1	912	0.723956	
69754	1	1	0	4	4	2	912	0.721044	
69785	1	1	277.107	4	2	2	912	0.731832	
69785	2	1	0	4	4	2	912	0.753974	
69843	1	1	0	4	4	6	912	0.717986	
69927	1	1	70.8573	4	2	9	912	0.719649	
69927	2	1	0	4	4	9	912	0.739901	
