EvtN	HitN	TrackID	Energy	DetID	Process	DOI	HP	Phi	Theta	Time
119286	1	1	0	0	4	0	0	0	90	0.402753	
119494	1	1	0	0	4	0	0	0	90	0.317288	
119522	1	1	0	0	4	0	0	0	90	0.317348	
121920	1	1	0	0	4	2.95783	0	0	90	0.317539	
122439	1	1	0	0	4	0	0	0	90	0.316993	
124439	1	1	0	0	4	0	0	0	90	0.317206	
125346	1	1	0	0	4	7.81194	0	0	90	0.317599	
128591	1	1	0	0	4	9.31119	0	0	90	0.31734	
128962	1	1	0	0	4	0	0	0	90	0.317198	
129093	1	1	443.735	0	2	9.70463	0	0	90	0.317094	
129093	2	1	87.1826	0	2	9.71089	0	0	90	0.31808	
129093	3	1	0	0	3	6.48925	0	0	90	0.318118	
129093	4	1	131.083	0	1	4.52892	0	0	90	0.332489	
129258	1	1	0	0	4	7.10574	0	0	90	0.3173	
129702	1	1	0	0	4	0	0	0	90	0.317221	
130317	1	1	0	0	4	0	0	0	90	0.316999	
131176	1	1	73.7768	0	2	8.8726	0	0	90	0.317363	
131176	2	1	0	0	4	0	0	0	90	0.321129	
135935	1	1	0	0	4	0	0	0	90	0.317101	
139148	1	1	0	0	4	0	0	0	90	0.317216	
144550	1	1	0	0	4	0	0	0	90	0.317349	
147041	1	1	315.409	0	2	5.76297	0	0	90	0.317013	
147041	2	1	0	0	4	4.01153	0	0	90	0.331151	
149170	1	1	75.859	0	2	3.52627	0	0	90	0.317209	
149170	2	1	0	0	4	0	0	0	90	0.338825	
149916	1	1	214.494	0	2	8.28821	0	0	90	0.317426	
149916	2	1	0	0	4	0	0	0	90	0.323145	
150098	1	1	0	0	4	0	0	0	90	0.31726	
150252	1	1	0	0	4	0	0	0	90	0.316998	
150574	1	1	43.3088	0	2	8.72659	0	0	90	0.317259	
150574	2	1	0	0	4	6.94599	0	0	90	0.321512	
150614	1	1	244.432	0	2	2.45183	0	0	90	0.317343	
150614	2	1	0	0	4	1.78928	0	0	90	0.342557	
151301	1	1	0	0	4	0	0	0	90	0.317316	
154205	1	1	0	0	4	2.86381	0	0	90	0.317268	
154455	1	1	93.1013	0	2	5.76029	0	0	90	0.523435	
154455	2	1	0	0	4	7.80138	0	0	90	0.537067	
155556	1	1	0	0	4	0	0	0	90	0.600991	
156449	1	1	0	0	4	0	0	0	90	0.317055	
156641	1	1	412.019	0	2	8.26521	0	0	90	0.317309	
156641	2	1	0	0	4	8.86758	0	0	90	0.323103	
157876	1	1	0	0	4	9.98396	0	0	90	0.317471	
157931	1	1	0	0	4	0	0	0	90	0.317162	
158102	1	1	0	0	4	2.33133	0	0	90	0.317321	
158869	1	1	25.8913	0	2	7.22513	0	0	90	0.31718	
158869	2	1	0	0	4	2.77201	0	0	90	0.326444	
160074	1	1	0	0	4	0	0	0	90	0.317034	
161371	1	1	0	0	4	0	0	0	90	0.317299	
161587	1	1	0	0	4	7.35534	0	0	90	0.317394	
162261	1	1	0	0	4	0	0	0	90	0.316967	
163307	1	1	0	0	4	7.01693	0	0	90	0.31747	
163464	1	1	0	0	4	0	0	0	90	0.316903	
163495	1	1	0	0	4	0	0	0	90	0.317329	
164885	1	1	0	0	4	0	0	0	90	0.317466	
166968	1	1	0	0	4	2.28241	0	0	90	0.426616	
167227	1	1	0	0	4	0	0	0	90	0.316955	
167723	1	1	0	0	4	0	0	0	90	0.317126	
167750	1	1	0	0	4	0	0	0	90	0.317251	
168049	1	1	0	0	4	0	0	0	90	0.316902	
169017	1	1	662	0	1	6.00075	0	0	90	0.316896	
170341	1	1	0	0	4	0	0	0	90	0.317054	
171477	1	1	0	0	4	0	0	0	90	0.316957	
171564	1	1	0	0	4	0	0	0	90	0.317391	
171892	1	1	209.695	0	2	7.66051	0	0	90	0.317339	
171892	2	1	64.0568	0	2	6.59845	0	0	90	0.325154	
171892	3	1	0	0	4	6.46022	0	0	90	0.330555	
172194	1	1	0	0	4	0	0	0	90	0.317389	
172876	1	1	4.91963	0	2	8.71075	0	0	90	0.317368	
172876	2	1	308.742	0	2	8.3874	0	0	90	0.321675	
172876	3	1	0	0	4	7.95061	0	0	90	0.32276	
173187	1	1	389.68	0	2	4.88734	0	0	90	0.317187	
173187	2	1	0	0	4	4.9966	0	0	90	0.334257	
173243	1	1	362.718	0	2	4.2912	0	0	90	0.316919	
173243	2	1	0	0	4	4.07163	0	0	90	0.335963	
173781	1	1	0	0	4	0	0	0	90	0.317418	
174681	1	1	283.864	0	2	7.78394	0	0	90	0.321743	
174681	2	1	0	0	4	7.19835	0	0	90	0.329215	
175739	1	1	0	0	4	0	0	0	90	0.316991	
175824	1	1	0	0	4	0	0	0	90	0.317328	
175927	1	1	0	0	4	0	0	0	90	0.317213	
177894	1	1	0	0	4	1.9956	0	0	90	0.317403	
