EvtN	HitN	TrackID	Energy	DetID	Process	DOI	HP	Phi	Theta	Time
182316	1	1	0	0	4	6.95818	0	270	90	0.316949	
183080	1	1	0	0	4	7.89192	0	270	90	0.317013	
183324	1	1	0	0	4	0	0	270	90	0.317347	
187858	1	1	0	0	4	6.73303	0	270	90	0.317213	
189545	1	1	0	0	4	0	0	270	90	0.317502	
189609	1	1	308.277	0	2	6.88744	0	270	90	0.316955	
189609	2	1	0	0	4	10	0	270	90	0.332415	
189891	1	1	0	0	4	0.129117	0	270	90	0.317637	
190251	1	1	0	0	4	0.524925	0	270	90	0.317629	
191795	1	1	0	0	4	10	0	270	90	0.317605	
193070	1	1	0	0	4	2.82777	0	270	90	0.317148	
195401	1	1	6.17837	0	2	5.53891	0	270	90	0.316918	
195401	2	1	39.084	0	2	5.63562	0	270	90	0.344449	
195401	3	1	0	0	4	5.60981	0	270	90	0.349914	
196589	1	1	223.752	0	2	9.46551	0	270	90	0.317392	
196589	2	1	0	0	4	10	0	270	90	0.339656	
197555	1	1	189.746	0	1	7.96832	0	270	90	0.561807	
197690	1	1	0	0	4	8.07346	0	270	90	0.418181	
198533	1	1	0	0	4	3.45628	0	270	90	0.317108	
201059	1	1	0	0	4	10	0	270	90	0.317273	
201606	1	1	0	0	4	2.36963	0	270	90	0.31708	
202138	1	1	0	0	4	7.04052	0	270	90	0.317141	
203015	1	1	0	0	4	8.98043	0	270	90	0.317238	
203391	1	1	394.553	0	2	7.14938	0	270	90	0.317352	
203391	2	1	0	0	4	7.17693	0	270	90	0.325523	
204387	1	1	0	0	4	7.07613	0	270	90	0.316959	
205999	1	1	0	0	4	0.501328	0	270	90	0.317606	
206217	1	1	0	0	4	0.446862	0	270	90	0.317243	
206765	1	1	420.266	0	2	7.10593	0	270	90	0.316952	
206765	2	1	0.963628	0	2	8.82009	0	270	90	0.346826	
206765	3	1	240.77	0	1	9.83448	0	270	90	0.353113	
210495	1	1	0	0	4	6.19283	0	270	90	0.317014	
210927	1	1	0	0	3	2.34018	0	270	90	1.13843	
210927	2	1	0	0	4	2.33831	0	270	90	1.16356	
211015	1	1	0	0	4	0.572437	0	270	90	0.317264	
