EvtN	HitN	TrackID	Energy	DetID	Process	DOI	HP	Phi	Theta	Time
1905	1	1	0	0	4	1	0	0	90	0.317224	
1916	1	1	168.273	0	2	1	0	0	90	0.317508	
1916	2	1	493.727	0	1	1	0	0	90	0.341724	
1940	1	1	0	0	4	1	0	0	90	0.317142	
1946	1	1	189.836	0	1	10	0	0	90	0.369363	
1947	1	1	0	0	4	1	0	0	90	0.31698	
1954	1	1	0	0	4	1	0	0	90	0.317168	
1975	1	1	0	0	4	1	0	0	90	0.317574	
1988	1	1	0	0	4	1	0	0	90	0.31717	
2027	1	1	0	0	4	1	0	0	90	0.31724	
2037	1	1	325.89	0	2	10	0	0	90	0.317312	
2037	2	1	0	0	4	10	0	0	90	0.324856	
2038	1	1	0	0	4	1	0	0	90	0.317255	
2041	1	1	4.24861	0	2	1	0	0	90	0.317014	
2041	2	1	0	0	4	1	0	0	90	0.344133	
2048	1	1	662	0	1	1	0	0	90	0.317135	
2053	1	1	0	0	4	10	0	0	90	0.317571	
2064	1	1	136.412	0	2	1	0	0	90	0.317304	
2064	2	1	0	0	4	1	0	0	90	0.336372	
2092	1	1	0	0	4	1	0	0	90	0.317185	
2102	1	1	0	0	4	1	0	0	90	0.317227	
2116	1	1	0	0	4	10	0	0	90	0.317023	
2126	1	1	0	0	4	10	0	0	90	0.317343	
2137	1	1	245.244	0	2	1	0	0	90	0.316964	
2137	2	1	0	0	4	1	0	0	90	0.349057	
2159	1	1	14.9352	0	2	1	0	0	90	0.317355	
2159	2	1	0	0	4	1	0	0	90	0.337668	
2178	1	1	0	0	4	10	0	0	90	0.317113	
2185	1	1	0	0	4	1	0	0	90	0.317028	
2209	1	1	0	0	4	1	0	0	90	0.317361	
2215	1	1	0	0	4	1	0	0	90	0.317027	
2219	1	1	662	0	1	10	0	0	90	0.317455	
2237	1	1	289.631	0	2	10	0	0	90	0.317196	
2237	2	1	0	0	4	10	0	0	90	0.317945	
2251	1	1	212.798	0	2	10	0	0	90	0.316923	
2251	2	1	0	0	4	1	0	0	90	0.338889	
2255	1	1	0	0	4	1	0	0	90	0.317315	
2264	1	1	0	0	4	1	0	0	90	0.317273	
