EvtN	HitN	TrackID	Energy	DetID	Process	DOI	HP	Time
367	3	1	0	80	4	8	912	3.52194	
368	1	1	0	46	4	1	912	3.11599	
372	1	1	100.457	166	2	3	912	3.52254	
372	2	1	0	166	4	3	912	3.53124	
373	1	1	0	60	4	8	912	3.31951	
375	1	1	0	25	4	8	912	3.22262	
378	1	1	0	45	4	1	912	3.08905	
383	1	1	0	61	4	5	912	3.24877	
386	1	1	0	126	4	10	912	3.55771	
388	1	1	0	3	4	1	912	3.19985	
388	2	1	0	37	4	7	912	3.43117	
392	1	1	662	88	1	9	912	3.13287	
393	1	1	0	171	4	10	912	3.2952	
395	1	1	51.8815	188	2	1	912	3.40214	
395	2	1	350.368	188	2	1	912	3.40252	
395	3	1	0	188	4	1	912	3.41124	
396	1	1	0	138	4	6	912	3.16523	
397	1	1	0	191	4	2	912	3.4059	
399	1	1	35.1546	18	2	9	912	3.33762	
399	2	1	0	18	4	8	912	3.3602	
400	1	1	306.008	48	2	10	912	3.27289	
400	2	1	0	48	4	10	912	3.27338	
404	1	1	0	68	4	1	912	3.09738	
404	2	1	0	124	4	2	912	3.53452	
406	1	1	0	15	4	1	912	3.17657	
407	1	1	0	126	4	10	912	3.55874	
408	1	1	0	18	4	9	912	3.33782	
412	1	1	41.6103	25	2	10	912	3.21459	
412	2	1	0	25	4	3	912	3.21808	
412	3	1	0	80	4	4	912	3.52225	
413	1	1	0	116	4	10	912	3.15191	
413	2	1	0	162	4	10	912	3.48898	
414	1	1	0	45	4	10	912	3.09342	
415	1	1	0	12	4	1	912	3.15872	
417	1	1	0	44	4	1	912	3.08176	
419	1	1	91.7475	55	2	2	912	3.48706	
419	2	1	0	55	4	3	912	3.49192	
420	1	1	309.556	65	2	5	912	3.10201	
420	2	1	0	65	3	5	912	3.10435	
420	3	1	0	65	4	6	912	3.10732	
421	1	1	0	12	4	1	912	3.16828	
423	1	1	0	88	4	5	912	3.13679	
425	1	1	0	52	4	3	912	3.4665	
426	1	1	0	178	4	10	912	3.50517	
429	1	1	0	25	4	3	912	3.22427	
429	2	1	0	24	4	1	912	3.27147	
430	1	1	0	117	4	1	912	3.1717	
431	1	1	223.137	136	2	8	912	3.19179	
431	2	1	0	136	4	10	912	3.20702	
432	1	1	0	81	4	3	912	3.4911	
444	1	1	0	74	4	10	912	3.42776	
446	1	1	0	163	4	10	912	3.53748	
449	1	1	0	117	4	3	912	3.18226	
449	2	1	0	145	4	1	912	3.44292	
453	1	1	444.396	79	2	4	912	3.52385	
453	2	1	0	79	4	1	912	3.52931	
453	3	1	81.6965	172	2	1	912	3.95237	
453	4	1	135.908	172	1	1	912	3.95573	
